Domain1	Domain2	Source
PF01870	PF01870	iPfam
PF13743	PF13743	iPfam
PF12754	PF12754	iPfam
PF09397	PF09397	iPfam
PF09381	PF09381	iPfam
PF07938	PF07938	iPfam
PF02595	PF02595	iPfam
PF00511	PF00511	iPfam
PF12019	PF12019	iPfam
PF02225	PF02225	iPfam
PF09477	PF09477	iPfam
PF05362	PF05362	iPfam
PF07085	PF07085	iPfam
PF12850	PF12850	iPfam
PF02603	PF02603	iPfam
PF00855	PF00855	iPfam
PF00679	PF00679	iPfam
PF01163	PF01163	iPfam
PF02297	PF02297	iPfam
PF08311	PF08311	iPfam
PF11032	PF11032	iPfam
PF07859	PF07859	iPfam
PF01375	PF01375	iPfam
PF14505	PF14505	iPfam
PF06468	PF06468	iPfam
PF01264	PF01264	iPfam
PF13899	PF13899	iPfam
PF03167	PF03167	iPfam
PF01769	PF01769	iPfam
PF05191	PF05191	iPfam
PF06646	PF06646	iPfam
PF03630	PF03630	iPfam
PF08337	PF08337	iPfam
PF00179	PF00179	iPfam
PF08435	PF08435	iPfam
PF02219	PF02219	iPfam
PF00961	PF00961	iPfam
PF13516	PF13516	iPfam
PF02137	PF02137	iPfam
PF08710	PF08710	iPfam
PF04223	PF04223	iPfam
PF09399	PF09399	iPfam
PF02502	PF02502	iPfam
PF01478	PF01478	iPfam
PF04042	PF04042	iPfam
PF11567	PF11567	iPfam
PF14514	PF14514	iPfam
PF03727	PF03727	iPfam
PF08282	PF08282	iPfam
PF08668	PF08668	iPfam
PF03921	PF03921	iPfam
PF02295	PF02295	iPfam
PF02542	PF02542	iPfam
PF02237	PF02237	iPfam
PF10706	PF10706	iPfam
PF08645	PF08645	iPfam
PF00607	PF00607	iPfam
PF03404	PF03404	iPfam
PF04083	PF04083	iPfam
PF14259	PF14259	iPfam
PF01664	PF01664	iPfam
PF00289	PF00289	iPfam
PF10557	PF10557	iPfam
PF09339	PF09339	iPfam
PF09224	PF09224	iPfam
PF08964	PF08964	iPfam
PF06815	PF06815	iPfam
PF01189	PF01189	iPfam
PF03953	PF03953	iPfam
PF14789	PF14789	iPfam
PF13462	PF13462	iPfam
PF00945	PF00945	iPfam
PF03869	PF03869	iPfam
PF02282	PF02282	iPfam
PF01596	PF01596	iPfam
PF01464	PF01464	iPfam
PF10672	PF10672	iPfam
PF02629	PF02629	iPfam
PF11473	PF11473	iPfam
PF00903	PF00903	iPfam
PF00120	PF00120	iPfam
PF06367	PF06367	iPfam
PF00750	PF00750	iPfam
PF02157	PF02157	iPfam
PF11519	PF11519	iPfam
PF03519	PF03519	iPfam
PF14295	PF14295	iPfam
PF02909	PF02909	iPfam
PF01893	PF01893	iPfam
PF07968	PF07968	iPfam
PF08718	PF08718	iPfam
PF01904	PF01904	iPfam
PF09245	PF09245	iPfam
PF01300	PF01300	iPfam
PF04832	PF04832	iPfam
PF00817	PF00817	iPfam
PF05743	PF05743	iPfam
PF05401	PF05401	iPfam
PF01653	PF01653	iPfam
PF02866	PF02866	iPfam
PF00875	PF00875	iPfam
PF06824	PF06824	iPfam
PF02719	PF02719	iPfam
PF05026	PF05026	iPfam
PF07876	PF07876	iPfam
PF00105	PF00105	iPfam
PF01053	PF01053	iPfam
PF10193	PF10193	iPfam
PF00454	PF00454	iPfam
PF08956	PF08956	iPfam
PF05737	PF05737	iPfam
PF02710	PF02710	iPfam
PF07451	PF07451	iPfam
PF05172	PF05172	iPfam
PF02768	PF02768	iPfam
PF00701	PF00701	iPfam
PF00794	PF00794	iPfam
PF03872	PF03872	iPfam
PF02700	PF02700	iPfam
PF04509	PF04509	iPfam
PF11418	PF11418	iPfam
PF11412	PF11412	iPfam
PF08982	PF08982	iPfam
PF08659	PF08659	iPfam
PF13505	PF13505	iPfam
PF11534	PF11534	iPfam
PF03971	PF03971	iPfam
PF08751	PF08751	iPfam
PF02730	PF02730	iPfam
PF02204	PF02204	iPfam
PF00581	PF00581	iPfam
PF00640	PF00640	iPfam
PF11483	PF11483	iPfam
PF12910	PF12910	iPfam
PF00887	PF00887	iPfam
PF00045	PF00045	iPfam
PF01405	PF01405	iPfam
PF12282	PF12282	iPfam
PF01846	PF01846	iPfam
PF00221	PF00221	iPfam
PF05175	PF05175	iPfam
PF09006	PF09006	iPfam
PF00515	PF00515	iPfam
PF02493	PF02493	iPfam
PF12849	PF12849	iPfam
PF13474	PF13474	iPfam
PF00995	PF00995	iPfam
PF02783	PF02783	iPfam
PF14833	PF14833	iPfam
PF06511	PF06511	iPfam
PF01259	PF01259	iPfam
PF04351	PF04351	iPfam
PF04413	PF04413	iPfam
PF01468	PF01468	iPfam
PF04451	PF04451	iPfam
PF13204	PF13204	iPfam
PF03853	PF03853	iPfam
PF03888	PF03888	iPfam
PF13654	PF13654	iPfam
PF02011	PF02011	iPfam
PF05096	PF05096	iPfam
PF02767	PF02767	iPfam
PF01212	PF01212	iPfam
PF06144	PF06144	iPfam
PF14587	PF14587	iPfam
PF01018	PF01018	iPfam
PF10563	PF10563	iPfam
PF06632	PF06632	iPfam
PF10398	PF10398	iPfam
PF05491	PF05491	iPfam
PF00630	PF00630	iPfam
PF13675	PF13675	iPfam
PF05134	PF05134	iPfam
PF03150	PF03150	iPfam
PF01127	PF01127	iPfam
PF01993	PF01993	iPfam
